Enseigne;Adresse;Nombre Points de charge;Puissance délivrée;Type de prise;Condition d'accès;Accessibilité;Coordonnees;Commune;Nom du département;Nom de la région;Commentaires;Nom de la borne
E Born;La Palisse 07630 CROS DE GEORAND;2;22.0;COMBO;payant;24/24 7/7 jours;44.77788,4.10358;Cros-de-Géorand;ARDECHE;AUVERGNE-RHONE-ALPES;;B2761
E Born;Avenue de la Gare 07100 ANNONAY;2;22.0;COMBO;payant;24/24 7/7 jours;45.244738,4.674702;Annonay;ARDECHE;AUVERGNE-RHONE-ALPES;;B2762
E Born;Place du 14 Juillet 07470 COUCOURON;2;22.0;COMBO;payant;24/24 7/7 jours;44.803111,3.97075;Coucouron;ARDECHE;AUVERGNE-RHONE-ALPES;;B2763
E Born;Place du Coll?ge 07290 SATILLIEU;2;22.0;COMBO;payant;24/24 7/7 jours;45.151355,4.61752;Satillieu;ARDECHE;AUVERGNE-RHONE-ALPES;;B2764
E Born;Quai Jules Roche Sud 07340 SERRIERES;2;50.0;COMBO;payant;24/24 7/7 jours;45.317047,4.766763;Serrières;SAONE-ET-LOIRE;BOURGOGNE-FRANCHE-COMTE;;B2765
E Born;Parking N?ruda 07150 VALLON PONT D ARC;2;50.0;COMBO;payant;24/24 7/7 jours;44.406267,4.389944;Vallon-Pont-d'Arc;ARDECHE;AUVERGNE-RHONE-ALPES;;B2766
E Born;Quartier Ratiere 07150 VALLON PONT D ARC;2;22.0;COMBO;payant;24/24 7/7 jours;44.406231,4.39753;Vallon-Pont-d'Arc;ARDECHE;AUVERGNE-RHONE-ALPES;;B2767
E Born;Place du Clos 07190 ST PIERREVILLE;2;22.0;COMBO;payant;24/24 7/7 jours;44.814927,4.48872;Saint-Pierreville;ARDECHE;AUVERGNE-RHONE-ALPES;;B2768
Révéo;52 Route Nationale 9330 MONTGAILHARD;2;22.0;COMBO;payant;24/24 7/7 jours;42.9337,1.634;Montgaillard;AUDE;OCCITANIE;;B2769
Révéo;Boulodrome Boulevard Pasteur 9210 LEZAT SUR LEZE;2;22.0;COMBO;payant;24/24 7/7 jours;43.277538,1.347894;Lézat-sur-Lèze;ARIEGE;OCCITANIE;;B2770
Révéo;Boulevard Alsace Lorraine 9100 PAMIERS;4;36.0;COMBO;payant;24/24 7/7 jours;43.118466,1.614225;Pamiers;ARIEGE;OCCITANIE;;B2771
La borne �lectrique;Place Lyautey - 29105 Landivisiau;2;22.0;COMBO;payant;24/24 7/7 jours;48.511308,-4.068542;Landivisiau;FINISTERE;BRETAGNE;;B2772
La borne �lectrique;Lilia - 29195 Plouguerneau;2;22.0;COMBO;payant;24/24 7/7 jours;48.619443,-4.555913;Plouguerneau;FINISTERE;BRETAGNE;;B2773
